algorithm,scenario,instance,seed,trial_id,rung,fidelity,validation_error,simulated_cost,cumulative_cost,best_validation_error,config_json
bohb,lcbench,7593,6,1,1,1.0,-10.070220947265625,23.17345428466797,23.17345428466797,-10.070220947265625,"{""OpenML_task_id"": ""7593"", ""batch_size"": 353, ""learning_rate"": 0.0009906937334398737, ""max_dropout"": 0.8212291230578318, ""max_units"": 72, ""momentum"": 0.1958144451430115, ""num_layers"": 2, ""weight_decay"": 0.009956174504879397}"
bohb,lcbench,7593,6,1,2,3.0,-35.39269256591797,59.14939880371094,82.3228530883789,-35.39269256591797,"{""OpenML_task_id"": ""7593"", ""batch_size"": 353, ""learning_rate"": 0.0009906937334398737, ""max_dropout"": 0.8212291230578318, ""max_units"": 72, ""momentum"": 0.1958144451430115, ""num_layers"": 2, ""weight_decay"": 0.009956174504879397}"
bohb,lcbench,7593,6,1,3,9.0,-48.99220657348633,132.1513214111328,214.47417449951172,-48.99220657348633,"{""OpenML_task_id"": ""7593"", ""batch_size"": 353, ""learning_rate"": 0.0009906937334398737, ""max_dropout"": 0.8212291230578318, ""max_units"": 72, ""momentum"": 0.1958144451430115, ""num_layers"": 2, ""weight_decay"": 0.009956174504879397}"
bohb,lcbench,7593,6,1,4,27.0,-53.34640884399414,309.9128723144531,524.3870468139648,-53.34640884399414,"{""OpenML_task_id"": ""7593"", ""batch_size"": 353, ""learning_rate"": 0.0009906937334398737, ""max_dropout"": 0.8212291230578318, ""max_units"": 72, ""momentum"": 0.1958144451430115, ""num_layers"": 2, ""weight_decay"": 0.009956174504879397}"
bohb,lcbench,7593,6,1,5,52.0,-51.682281494140625,638.114013671875,1162.5010604858398,-53.34640884399414,"{""OpenML_task_id"": ""7593"", ""batch_size"": 353, ""learning_rate"": 0.0009906937334398737, ""max_dropout"": 0.8212291230578318, ""max_units"": 72, ""momentum"": 0.1958144451430115, ""num_layers"": 2, ""weight_decay"": 0.009956174504879397}"
bohb,lcbench,7593,6,2,1,1.0,-8.419110298156738,25.539871215820312,1188.0409317016602,-53.34640884399414,"{""OpenML_task_id"": ""7593"", ""batch_size"": 132, ""learning_rate"": 0.0039011207398969303, ""max_dropout"": 0.4828327121028261, ""max_units"": 631, ""momentum"": 0.771961545235925, ""num_layers"": 3, ""weight_decay"": 0.05180846083580689}"
bohb,lcbench,7593,6,3,1,1.0,-4.53180456161499,18.964942932128906,1207.005874633789,-53.34640884399414,"{""OpenML_task_id"": ""7593"", ""batch_size"": 119, ""learning_rate"": 0.008631082894759624, ""max_dropout"": 0.9902242713734164, ""max_units"": 621, ""momentum"": 0.46774883198640094, ""num_layers"": 4, ""weight_decay"": 0.08017407363703627}"
bohb,lcbench,7593,6,4,1,1.0,-4.594642162322998,9.14508056640625,1216.1509552001953,-53.34640884399414,"{""OpenML_task_id"": ""7593"", ""batch_size"": 78, ""learning_rate"": 0.010507612252183463, ""max_dropout"": 0.14784469308086157, ""max_units"": 172, ""momentum"": 0.6486641812408511, ""num_layers"": 5, ""weight_decay"": 0.05759947567881025}"
bohb,lcbench,7593,6,5,1,1.0,-5.415634632110596,45.34693145751953,1261.4978866577148,-53.34640884399414,"{""OpenML_task_id"": ""7593"", ""batch_size"": 21, ""learning_rate"": 0.0004675744783639273, ""max_dropout"": 0.2178902195166882, ""max_units"": 631, ""momentum"": 0.5096148456994043, ""num_layers"": 3, ""weight_decay"": 0.0255688494195275}"
bohb,lcbench,7593,6,6,1,1.0,-10.910618782043457,28.451526641845703,1289.9494132995605,-53.34640884399414,"{""OpenML_task_id"": ""7593"", ""batch_size"": 32, ""learning_rate"": 0.000894129278778352, ""max_dropout"": 0.2636670557714179, ""max_units"": 163, ""momentum"": 0.8984832679105405, ""num_layers"": 2, ""weight_decay"": 0.04598522514111844}"
bohb,lcbench,7593,6,6,2,3.0,-61.57846450805664,82.85261535644531,1372.8020286560059,-61.57846450805664,"{""OpenML_task_id"": ""7593"", ""batch_size"": 32, ""learning_rate"": 0.000894129278778352, ""max_dropout"": 0.2636670557714179, ""max_units"": 163, ""momentum"": 0.8984832679105405, ""num_layers"": 2, ""weight_decay"": 0.04598522514111844}"
bohb,lcbench,7593,6,6,3,9.0,-59.30820846557617,199.1807403564453,1571.9827690124512,-61.57846450805664,"{""OpenML_task_id"": ""7593"", ""batch_size"": 32, ""learning_rate"": 0.000894129278778352, ""max_dropout"": 0.2636670557714179, ""max_units"": 163, ""momentum"": 0.8984832679105405, ""num_layers"": 2, ""weight_decay"": 0.04598522514111844}"
bohb,lcbench,7593,6,6,4,27.0,-58.47953796386719,497.17352294921875,2069.15629196167,-61.57846450805664,"{""OpenML_task_id"": ""7593"", ""batch_size"": 32, ""learning_rate"": 0.000894129278778352, ""max_dropout"": 0.2636670557714179, ""max_units"": 163, ""momentum"": 0.8984832679105405, ""num_layers"": 2, ""weight_decay"": 0.04598522514111844}"
bohb,lcbench,7593,6,6,5,52.0,-58.37820053100586,980.1943969726562,3049.350688934326,-61.57846450805664,"{""OpenML_task_id"": ""7593"", ""batch_size"": 32, ""learning_rate"": 0.000894129278778352, ""max_dropout"": 0.2636670557714179, ""max_units"": 163, ""momentum"": 0.8984832679105405, ""num_layers"": 2, ""weight_decay"": 0.04598522514111844}"
bohb,lcbench,7593,6,7,1,1.0,-10.961318969726562,20.433319091796875,3069.784008026123,-61.57846450805664,"{""OpenML_task_id"": ""7593"", ""batch_size"": 216, ""learning_rate"": 0.03292447960927347, ""max_dropout"": 0.05865767908301445, ""max_units"": 439, ""momentum"": 0.565502506237562, ""num_layers"": 2, ""weight_decay"": 0.009049224563602725}"
bohb,lcbench,7593,6,7,2,3.0,-62.228023529052734,59.54124450683594,3129.325252532959,-62.228023529052734,"{""OpenML_task_id"": ""7593"", ""batch_size"": 216, ""learning_rate"": 0.03292447960927347, ""max_dropout"": 0.05865767908301445, ""max_units"": 439, ""momentum"": 0.565502506237562, ""num_layers"": 2, ""weight_decay"": 0.009049224563602725}"
bohb,lcbench,7593,6,7,3,9.0,-59.875186920166016,161.2218475341797,3290.5471000671387,-62.228023529052734,"{""OpenML_task_id"": ""7593"", ""batch_size"": 216, ""learning_rate"": 0.03292447960927347, ""max_dropout"": 0.05865767908301445, ""max_units"": 439, ""momentum"": 0.565502506237562, ""num_layers"": 2, ""weight_decay"": 0.009049224563602725}"
bohb,lcbench,7593,6,7,4,27.0,-60.63871765136719,413.4188537597656,3703.9659538269043,-62.228023529052734,"{""OpenML_task_id"": ""7593"", ""batch_size"": 216, ""learning_rate"": 0.03292447960927347, ""max_dropout"": 0.05865767908301445, ""max_units"": 439, ""momentum"": 0.565502506237562, ""num_layers"": 2, ""weight_decay"": 0.009049224563602725}"
bohb,lcbench,7593,6,7,5,52.0,-62.75334548950195,777.4537353515625,4481.419689178467,-62.75334548950195,"{""OpenML_task_id"": ""7593"", ""batch_size"": 216, ""learning_rate"": 0.03292447960927347, ""max_dropout"": 0.05865767908301445, ""max_units"": 439, ""momentum"": 0.565502506237562, ""num_layers"": 2, ""weight_decay"": 0.009049224563602725}"
bohb,lcbench,7593,6,8,1,1.0,-5.173446178436279,23.707534790039062,4505.127223968506,-62.75334548950195,"{""OpenML_task_id"": ""7593"", ""batch_size"": 16, ""learning_rate"": 0.014165308813018288, ""max_dropout"": 0.5033308676759849, ""max_units"": 249, ""momentum"": 0.38864935631150777, ""num_layers"": 4, ""weight_decay"": 0.0793189548726568}"
bohb,lcbench,7593,6,9,1,1.0,-4.116385459899902,13.798428535461426,4518.925652503967,-62.75334548950195,"{""OpenML_task_id"": ""7593"", ""batch_size"": 107, ""learning_rate"": 0.009398443174964962, ""max_dropout"": 0.8323587828078653, ""max_units"": 247, ""momentum"": 0.8584101344985385, ""num_layers"": 4, ""weight_decay"": 0.07094510050920608}"
bohb,lcbench,7593,6,10,1,1.0,-4.8381266593933105,24.555374145507812,4543.481026649475,-62.75334548950195,"{""OpenML_task_id"": ""7593"", ""batch_size"": 27, ""learning_rate"": 0.0004312025485083371, ""max_dropout"": 0.8027651400052487, ""max_units"": 158, ""momentum"": 0.36447178543693715, ""num_layers"": 4, ""weight_decay"": 0.050777956737083664}"
bohb,lcbench,7593,6,11,1,1.0,-16.81007957458496,16.297321319580078,4559.778347969055,-62.75334548950195,"{""OpenML_task_id"": ""7593"", ""batch_size"": 344, ""learning_rate"": 0.001464883631069849, ""max_dropout"": 0.5790363826016955, ""max_units"": 77, ""momentum"": 0.44017635860769355, ""num_layers"": 1, ""weight_decay"": 0.07130654056248072}"
bohb,lcbench,7593,6,11,2,3.0,-43.15913391113281,39.003482818603516,4598.781830787659,-62.75334548950195,"{""OpenML_task_id"": ""7593"", ""batch_size"": 344, ""learning_rate"": 0.001464883631069849, ""max_dropout"": 0.5790363826016955, ""max_units"": 77, ""momentum"": 0.44017635860769355, ""num_layers"": 1, ""weight_decay"": 0.07130654056248072}"
bohb,lcbench,7593,6,12,1,1.0,-5.020416736602783,71.54345703125,4670.325287818909,-62.75334548950195,"{""OpenML_task_id"": ""7593"", ""batch_size"": 29, ""learning_rate"": 0.017877533544666466, ""max_dropout"": 0.06500404737441856, ""max_units"": 951, ""momentum"": 0.36415315494121714, ""num_layers"": 4, ""weight_decay"": 0.06580903928692142}"
bohb,lcbench,7593,6,13,1,1.0,-14.823158264160156,13.97413158416748,4684.299419403076,-62.75334548950195,"{""OpenML_task_id"": ""7593"", ""batch_size"": 269, ""learning_rate"": 0.00023378532077336024, ""max_dropout"": 0.006834268779341235, ""max_units"": 671, ""momentum"": 0.12494592014201422, ""num_layers"": 1, ""weight_decay"": 0.003992791479891003}"
