"algorithm","instance","seed","final_best_error","total_cost"
"asha","167184","9","-81.49241638183594","2472.891860842705"
"asha","167185","0","-94.75458526611328","7699.09157037735"
"asha","167185","1","-95.77767181396484","7360.555960416794"
"asha","167185","2","-94.61661529541016","18463.501236200333"
"asha","167185","3","-95.54279327392578","8387.39147734642"
"asha","167185","4","-95.34044647216797","10661.453462600708"
"asha","167185","5","-95.88664245605469","11988.018632173538"
"asha","167185","6","-94.70309448242188","14420.127549648285"
"asha","167185","7","-95.79576110839844","9377.867594242096"
"asha","167185","8","-95.72858428955078","6128.89612030983"
"asha","167185","9","-94.82839965820312","12236.808752536774"
"asha","167190","0","-86.1988525390625","4207.798202991486"
"asha","167190","1","-87.4184341430664","3795.013852953911"
"asha","167190","2","-86.83918762207031","7332.019211053848"
"asha","167190","3","-85.31060791015625","3191.884923219681"
"asha","167190","4","-86.20217895507812","4901.043947339058"
"asha","167190","5","-84.29399108886719","5081.350244641304"
"asha","167190","6","-86.4757080078125","4799.031010866165"
"asha","167190","7","-86.2327880859375","4462.280591249466"
"asha","167190","8","-87.24052429199219","2976.973156929016"
"asha","167190","9","-87.12682342529297","3586.8736402988434"
"asha","167200","0","-71.0514144897461","8348.461567163467"
"asha","167200","1","-70.55946350097656","8419.52672123909"
"asha","167200","2","-74.83238983154297","6926.1166932582855"
"asha","167200","3","-71.51451873779297","6077.767328500748"
"asha","167200","4","-71.02544403076172","13324.913647174835"
"asha","167200","5","-73.81180572509766","12651.070968389511"
"asha","167200","6","-74.47539520263672","6993.086497068405"
"asha","167200","7","-69.87553405761719","6850.183532476425"
"asha","167200","8","-72.05789184570312","6970.316881656647"
"asha","167200","9","-75.21127319335938","5986.995234012604"
"asha","167201","0","-59.689002990722656","4725.7207663059235"
"asha","167201","1","-60.28924560546875","4879.720207452774"
"asha","167201","2","-62.3834228515625","7061.167384386063"
"asha","167201","3","-64.20673370361328","4581.651292562485"
"asha","167201","4","-56.54880142211914","5136.259725570679"
"asha","167201","5","-76.0290756225586","8047.127594709396"
"asha","167201","6","-79.16970825195312","4518.869458436966"
"asha","167201","7","-55.18459701538086","4631.83854675293"
"asha","167201","8","-58.02848434448242","5528.052257299423"
"asha","167201","9","-81.0295639038086","3577.563688993454"
"asha","168329","0","-26.7211856842041","9463.878824472427"
"asha","168329","1","-30.363426208496094","8494.078371047974"
"asha","168329","2","-34.205322265625","7548.6101759672165"
"asha","168329","3","-30.2904109954834","4807.345314145088"
"asha","168329","4","-29.614755630493164","8943.23863351345"
"asha","168329","5","-31.200714111328125","11464.96275305748"
"asha","168329","6","-26.325109481811523","8067.550908207893"
"asha","168329","7","-31.973766326904297","8249.546953678131"
"asha","168329","8","-26.686046600341797","6013.513050317764"
"asha","168329","9","-30.5197696685791","6868.699736356735"
"asha","168330","0","-62.95259475708008","8055.1359577178955"
"asha","168330","1","-62.32022476196289","6393.666506767273"
"asha","168330","2","-62.54090118408203","8563.992146492004"
"asha","168330","3","-62.587215423583984","5687.823234796524"
"asha","168330","4","-65.7165298461914","7520.903984308243"
"asha","168330","5","-60.6396598815918","9843.087996721268"
"asha","168330","6","-63.56565856933594","8101.158172130585"
"asha","168330","7","-60.279544830322266","7025.610687494278"
"asha","168330","8","-62.15739059448242","8305.774050951004"
"asha","168330","9","-64.65312957763672","6506.830598831177"
"asha","168331","0","-50.4267692565918","6292.172455191612"
"asha","168331","1","-52.33308029174805","5646.850785970688"
"asha","168331","2","-51.7743034362793","7464.452551007271"
"asha","168331","3","-57.89139938354492","5728.057535767555"
"asha","168331","4","-52.19491195678711","6483.251020550728"
"asha","168331","5","-52.11785888671875","8661.059490799904"
"asha","168331","6","-48.31243133544922","8785.17280471325"
"asha","168331","7","-52.705467224121094","7416.274560213089"
"asha","168331","8","-51.70610046386719","6859.618234753609"
"asha","168331","9","-47.85090637207031","6138.150296807289"
"asha","168335","0","-93.48281860351562","7361.539418578148"
"asha","168335","1","-93.80305480957031","15029.542795658112"
"asha","168335","2","-94.5673828125","10236.302275180817"
"asha","168335","3","-90.84492492675781","4491.268324494362"
"asha","168335","4","-94.8342514038086","6508.593758106232"
"asha","168335","5","-96.95954895019531","14576.536848545074"
"asha","168335","6","-93.87071228027344","6343.315099000931"
"asha","168335","7","-93.28803253173828","6596.851838707924"
"asha","168335","8","-94.03153228759766","8843.415952324867"
"asha","168335","9","-92.13516998291016","4640.246441245079"
"asha","168868","0","-98.64729309082031","6867.194783210754"
"asha","168868","1","-98.56749725341797","6364.646019101143"
"asha","168868","2","-98.6054916381836","13823.073815345764"
"asha","168868","3","-98.65185546875","6971.569742321968"
"asha","168868","4","-98.66173553466797","13517.829713463783"
"asha","168868","5","-98.66667938232422","11413.010865569115"
"asha","168868","6","-98.65831756591797","9949.69886982441"
"asha","168868","7","-98.63436889648438","8193.830572843552"
"asha","168868","8","-98.53825378417969","9033.915886759758"
"asha","168868","9","-98.62334442138672","5773.315512776375"
"asha","168908","0","-83.79633331298828","66691.85914993286"
"asha","168908","1","-82.8746337890625","49385.153306007385"
"asha","168908","2","-80.11874389648438","115949.61267876625"
"asha","168908","3","-81.4574966430664","67889.33668041229"
"asha","168908","4","-81.1407241821289","51861.17235660553"
"asha","168908","5","-80.42163848876953","72131.74357271194"
"asha","168908","6","-83.21929168701172","66811.70600485802"
"asha","168908","7","-81.59632873535156","64143.42203474045"
"asha","168908","8","-81.39617919921875","38586.93169736862"
"asha","168908","9","-83.12553405761719","41188.63553619385"
"asha","168910","0","-58.10700988769531","13687.267948150635"
"asha","168910","1","-63.066383361816406","14389.451582193375"
"asha","168910","2","-65.18610382080078","26804.88786840439"
"asha","168910","3","-68.00563049316406","13235.18021774292"
"asha","168910","4","-64.62721252441406","19756.250094890594"
"asha","168910","5","-69.56434631347656","14032.431596517563"
"asha","168910","6","-61.519527435302734","27880.047520399094"
"asha","168910","7","-74.63333892822266","17732.171995401382"
"asha","168910","8","-61.711334228515625","14995.345130443573"
"asha","168910","9","-64.37672424316406","17609.880830049515"
"asha","189354","0","-70.77571868896484","39221.292907714844"
"asha","189354","1","-74.63550567626953","41209.08141183853"
"asha","189354","2","-73.85305786132812","45121.97432899475"
"asha","189354","3","-76.24285125732422","45192.21510267258"
"asha","189354","4","-72.78482818603516","59295.22345542908"
"asha","189354","5","-70.01436614990234","50809.748871803284"
"asha","189354","6","-72.59859466552734","26070.040279388428"
"asha","189354","7","-71.20329284667969","32469.4647731781"
"asha","189354","8","-72.0399169921875","37699.24309539795"
"asha","189354","9","-73.07926940917969","24591.216586112976"
"asha","189862","0","-87.39347839355469","5712.556952357292"
"asha","189862","1","-85.7036361694336","4677.4453155994415"
"asha","189862","2","-85.45889282226562","7441.748827695847"
"asha","189862","3","-85.76385498046875","5126.600581169128"
"asha","189862","4","-87.63861846923828","4130.370665192604"
"asha","189862","5","-86.54948425292969","3808.5095623731613"
"asha","189862","6","-85.89335632324219","6515.6245302557945"
"asha","189862","7","-85.11328125","4735.385723590851"
"asha","189862","8","-88.12176513671875","4117.52574634552"
"asha","189862","9","-86.6942138671875","4303.692455530167"
"asha","189865","0","-94.40747833251953","2968.2914065122604"
"asha","189865","1","-92.73753356933594","2120.8576303720474"
"asha","189865","2","-91.40968322753906","3496.857126355171"
"asha","189865","3","-94.74180603027344","2695.8786096572876"
"asha","189865","4","-93.13026428222656","3388.5728405714035"
"asha","189865","5","-92.19807434082031","2746.671750485897"
"asha","189865","6","-92.81767272949219","4277.605646967888"
"asha","189865","7","-93.38015747070312","2699.0414462685585"
"asha","189865","8","-91.12423706054688","3156.811250925064"
"asha","189865","9","-92.99713897705078","2905.0321947336197"
"asha","189866","0","-72.38874816894531","18555.404362678528"
"asha","189866","1","-72.49492645263672","17100.900939941406"
"asha","189866","2","-69.02322387695312","17419.988376140594"
"asha","189866","3","-69.17913055419922","11148.563068389893"
"asha","189866","4","-65.15682220458984","13255.874371051788"
"asha","189866","5","-68.7578125","48999.45163345337"
"asha","189866","6","-68.12300109863281","16452.97339963913"
"asha","189866","7","-69.5612564086914","17655.797209739685"
"asha","189866","8","-71.70841217041016","18204.66225528717"
"asha","189866","9","-66.89110565185547","15790.221709728241"
"asha","189873","0","-85.87347412109375","77697.66543102264"
"asha","189873","1","-71.61624908447266","29591.64928817749"
"asha","189873","2","-81.64549255371094","60844.706402778625"
"asha","189873","3","-78.82182312011719","25400.857563972473"
"asha","189873","4","-85.37450408935547","56027.10917186737"
"asha","189873","5","-82.87622833251953","118328.45368385315"
"asha","189873","6","-79.57010650634766","80448.091401577"
"asha","189873","7","-82.08265686035156","73186.48492145538"
"asha","189873","8","-83.31636810302734","45535.86986541748"
"asha","189873","9","-83.51988983154297","78606.9867515564"
"asha","189905","0","-87.41134643554688","2613.0536291599274"
"asha","189905","1","-86.6697998046875","2228.4082674980164"
"asha","189905","2","-87.70829772949219","2840.9507650136948"
"asha","189905","3","-90.25785064697266","2133.4067565202713"
"asha","189905","4","-89.17023468017578","2598.199290215969"
"asha","189905","5","-89.16060638427734","2646.919998526573"
"asha","189905","6","-86.65241241455078","2313.9073404073715"
"asha","189905","7","-85.19906616210938","2458.20954477787"
"asha","189905","8","-88.32563781738281","2670.1345313191414"
"asha","189905","9","-85.55360412597656","2479.7359667420387"
"asha","189906","0","-85.02266693115234","2900.1228410601616"
"asha","189906","1","-87.05155181884766","2262.499572277069"
"asha","189906","2","-87.99810028076172","3767.499038338661"
"asha","189906","3","-87.37998962402344","2455.105153441429"
"asha","189906","4","-86.25641632080078","3054.105889558792"
"asha","189906","5","-84.70167541503906","3591.1930763721466"
"asha","189906","6","-88.70227813720703","3920.623268187046"
"asha","189906","7","-88.1874008178711","1935.8789858818054"
"asha","189906","8","-83.41484832763672","4073.6856821775436"
"asha","189906","9","-85.98124694824219","2753.9889966249466"
"asha","189908","0","-85.54402923583984","23980.327555656433"
"asha","189908","1","-86.45368957519531","13058.005986213684"
"asha","189908","2","-86.17424011230469","24620.3592004776"
"asha","189908","3","-88.72966003417969","11677.1208486557"
"asha","189908","4","-86.07585906982422","19001.623165607452"
"asha","189908","5","-86.62098693847656","21657.498702526093"
"asha","189908","6","-85.50936889648438","18823.901831150055"
"asha","189908","7","-87.48693084716797","19048.796672821045"
"asha","189908","8","-85.78636169433594","20694.132420778275"
"asha","189908","9","-86.74675750732422","27415.78959417343"
"asha","189909","0","-70.60739135742188","4036.838337659836"
"asha","189909","1","-70.20697021484375","4651.891785144806"
"asha","189909","2","-71.04235076904297","6315.617001414299"
"asha","189909","3","-75.1204833984375","3310.0091537237167"
"asha","189909","4","-70.35325622558594","5224.4964245557785"
"asha","189909","5","-69.44600677490234","5783.295056581497"
"asha","189909","6","-69.63194274902344","5508.2881680727005"
"asha","189909","7","-70.75751495361328","3546.418809056282"
"asha","189909","8","-70.69225311279297","3465.4590010643005"
"asha","189909","9","-69.48458099365234","4789.317007303238"
"asha","34539","0","-97.70903015136719","6316.070521950722"
"asha","34539","1","-97.76779174804688","7179.184516787529"
"asha","34539","2","-97.10240173339844","6425.147173643112"
"asha","34539","3","-97.35608673095703","6473.859116792679"
"asha","34539","4","-97.48561096191406","4790.577555656433"
"asha","34539","5","-98.01110076904297","6157.192469120026"
"asha","34539","6","-97.18551635742188","5545.896350860596"
"asha","34539","7","-97.93974304199219","7060.687873840332"
"asha","34539","8","-97.57205963134766","6613.040511250496"
"asha","34539","9","-97.99297332763672","5780.594826459885"
"asha","3945","0","-98.5636978149414","10972.704503774643"
"asha","3945","1","-98.37663269042969","14786.246865272522"
"asha","3945","2","-98.47335052490234","12686.097407102585"
"asha","3945","3","-98.39596557617188","9845.785199642181"
"asha","3945","4","-98.46803283691406","13015.546270132065"
"asha","3945","5","-98.56636047363281","12923.273592710495"
"asha","3945","6","-98.5409164428711","10808.977730512619"
"asha","3945","7","-98.48928833007812","12660.80829334259"
"asha","3945","8","-98.5682601928711","12565.761600732803"
"asha","3945","9","-98.55078887939453","9804.26387667656"
"asha","7593","0","-68.92499542236328","26685.849008083344"
"asha","7593","1","-62.59085464477539","22407.542749881744"
"asha","7593","2","-65.50677490234375","34213.917169094086"
"asha","7593","3","-72.87044525146484","19433.653912067413"
"asha","7593","4","-69.59652709960938","25476.54132246971"
"asha","7593","5","-64.90367889404297","53185.768658638"
"asha","7593","6","-62.51145935058594","27900.68092441559"
"asha","7593","7","-61.482215881347656","18823.134984970093"
"asha","7593","8","-64.23360443115234","31531.661849975586"
"asha","7593","9","-72.09440612792969","22133.034917354584"
