algorithm,scenario,instance,seed,trial_id,rung,fidelity,validation_error,simulated_cost,cumulative_cost,best_validation_error,config_json
asha,lcbench,167152,5,1,1,1.0,-5.230581760406494,8.43808364868164,8.43808364868164,-5.230581760406494,"{""OpenML_task_id"": ""167152"", ""batch_size"": 35, ""learning_rate"": 0.04094462694610761, ""max_dropout"": 0.20671915533942642, ""max_units"": 817, ""momentum"": 0.5346859580273979, ""num_layers"": 4, ""weight_decay"": 0.035420262911071}"
asha,lcbench,167152,5,1,2,3.0,-78.38545989990234,20.221359252929688,28.659442901611328,-78.38545989990234,"{""OpenML_task_id"": ""167152"", ""batch_size"": 35, ""learning_rate"": 0.04094462694610761, ""max_dropout"": 0.20671915533942642, ""max_units"": 817, ""momentum"": 0.5346859580273979, ""num_layers"": 4, ""weight_decay"": 0.035420262911071}"
asha,lcbench,167152,5,1,3,9.0,-92.09822845458984,56.39253234863281,85.05197525024414,-92.09822845458984,"{""OpenML_task_id"": ""167152"", ""batch_size"": 35, ""learning_rate"": 0.04094462694610761, ""max_dropout"": 0.20671915533942642, ""max_units"": 817, ""momentum"": 0.5346859580273979, ""num_layers"": 4, ""weight_decay"": 0.035420262911071}"
asha,lcbench,167152,5,1,4,27.0,-93.43489837646484,199.94212341308594,284.9940986633301,-93.43489837646484,"{""OpenML_task_id"": ""167152"", ""batch_size"": 35, ""learning_rate"": 0.04094462694610761, ""max_dropout"": 0.20671915533942642, ""max_units"": 817, ""momentum"": 0.5346859580273979, ""num_layers"": 4, ""weight_decay"": 0.035420262911071}"
asha,lcbench,167152,5,1,5,52.0,-93.8291015625,419.9547119140625,704.9488105773926,-93.8291015625,"{""OpenML_task_id"": ""167152"", ""batch_size"": 35, ""learning_rate"": 0.04094462694610761, ""max_dropout"": 0.20671915533942642, ""max_units"": 817, ""momentum"": 0.5346859580273979, ""num_layers"": 4, ""weight_decay"": 0.035420262911071}"
asha,lcbench,167152,5,2,1,1.0,-5.881895065307617,3.054032564163208,708.0028431415558,-93.8291015625,"{""OpenML_task_id"": ""167152"", ""batch_size"": 86, ""learning_rate"": 0.09385616232568131, ""max_dropout"": 0.8082816830332671, ""max_units"": 387, ""momentum"": 0.8293307858166485, ""num_layers"": 4, ""weight_decay"": 0.07643961714003163}"
asha,lcbench,167152,5,2,2,3.0,-36.82848358154297,8.746261596679688,716.7491047382355,-93.8291015625,"{""OpenML_task_id"": ""167152"", ""batch_size"": 86, ""learning_rate"": 0.09385616232568131, ""max_dropout"": 0.8082816830332671, ""max_units"": 387, ""momentum"": 0.8293307858166485, ""num_layers"": 4, ""weight_decay"": 0.07643961714003163}"
asha,lcbench,167152,5,3,1,1.0,-7.46234130859375,7.0505852699279785,723.7996900081635,-93.8291015625,"{""OpenML_task_id"": ""167152"", ""batch_size"": 23, ""learning_rate"": 0.0004096983769731035, ""max_dropout"": 0.11909535747826039, ""max_units"": 730, ""momentum"": 0.5660710077438924, ""num_layers"": 2, ""weight_decay"": 0.05999692037053252}"
asha,lcbench,167152,5,3,2,3.0,-43.4837532043457,15.793915748596191,739.5936057567596,-93.8291015625,"{""OpenML_task_id"": ""167152"", ""batch_size"": 23, ""learning_rate"": 0.0004096983769731035, ""max_dropout"": 0.11909535747826039, ""max_units"": 730, ""momentum"": 0.5660710077438924, ""num_layers"": 2, ""weight_decay"": 0.05999692037053252}"
asha,lcbench,167152,5,3,3,9.0,-77.16156005859375,31.222339630126953,770.8159453868866,-93.8291015625,"{""OpenML_task_id"": ""167152"", ""batch_size"": 23, ""learning_rate"": 0.0004096983769731035, ""max_dropout"": 0.11909535747826039, ""max_units"": 730, ""momentum"": 0.5660710077438924, ""num_layers"": 2, ""weight_decay"": 0.05999692037053252}"
